OrderID,CustID,RestID,Discount,ItemLine,Price
1,66,80,60,Milk - Chocolate 250 Ml,436
1,66,80,60,Soup - Campbells Bean Medley,446
1,66,80,60,Fenngreek Seed,479
1,66,80,60,Veal - Knuckle,151
2,278,67,20,Hersey Shakes,112
2,278,67,20,Towel - Roll White,266
2,278,67,20,Teriyaki Sauce,95
2,278,67,20,Towel - Roll White,266
3,497,83,20,Vinegar - Rice,160
4,395,56,20,Pepper - Cubanelle,366
4,395,56,20,Madeira,343
4,395,56,20,Red Currant Jelly,290
5,133,41,50,Gherkin,404
5,133,41,50,Gherkin,404
5,133,41,50,"Pail - 15l White, With Handle",350
6,109,67,10,Cleaner - Comet,181
6,109,67,10,Cleaner - Comet,181
6,109,67,10,Hersey Shakes,112
6,109,67,10,Cleaner - Comet,181
7,125,73,60,Eggplant - Asian,212
7,125,73,60,Shrimp - Black Tiger 26/30,440
7,125,73,60,Wine - Pinot Noir Mondavi Coastal,483
8,225,85,10,Honey - Lavender,212
9,447,73,40,Venison - Striploin,361
9,447,73,40,Eggplant - Asian,212
9,447,73,40,Wine - Pinot Noir Mondavi Coastal,483
9,447,73,40,Beef Flat Iron Steak,437
9,447,73,40,Wine - Pinot Noir Mondavi Coastal,483
10,383,80,40,Muffin Mix - Oatmeal,497
10,383,80,40,Muffin Mix - Oatmeal,497
10,383,80,40,Fenngreek Seed,479
11,110,39,60,Beef Flat Iron Steak,437
12,134,71,40,Passion Fruit,228
12,134,71,40,Mustard - Pommery,333
13,297,34,50,Soup - Campbells Beef Stew,465
13,297,34,50,Sprouts Dikon,489
13,297,34,50,Brandy - Bar,333
13,297,34,50,Campari,174
14,90,50,40,Gherkin,404
14,90,50,40,Towel Multifold,274
14,90,50,40,Chicken - Tenderloin,139
14,90,50,40,Towel Multifold,274
15,359,59,50,Cornflakes,236
15,359,59,50,Halibut - Fletches,136
15,359,59,50,Vinegar - White Wine,236
16,60,30,30,Garlic,491
16,60,30,30,Rappini - Andy Boy,83
17,438,42,40,Whmis Spray Bottle Graduated,416
17,438,42,40,Whmis Spray Bottle Graduated,416
17,438,42,40,Pomello,198
17,438,42,40,Coffee - Dark Roast,72
17,438,42,40,Island Oasis - Pina Colada,148
18,260,30,0,Cheese - Pied De Vents,110
19,147,86,0,Tomatoes - Orange,407
20,340,22,60,Sausage - Chorizo,92
21,443,18,20,Napkin - Beverage 1 Ply,416
22,52,39,60,"Bread - Pita, Mini",400
22,52,39,60,"Mushroom - Enoki, Dry",450
22,52,39,60,"Mushroom - Enoki, Dry",450
22,52,39,60,"Melon - Watermelon, Seedless",323
22,52,39,60,"Melon - Watermelon, Seedless",323
22,52,39,60,"Melon - Watermelon, Seedless",323
23,219,25,10,Skewers - Bamboo,382
23,219,25,10,Nacho Chips,398
23,219,25,10,Skewers - Bamboo,382
23,219,25,10,Tea - Black Currant,130
23,219,25,10,Skewers - Bamboo,382
24,44,74,50,Stainless Steel Cleaner Vision,116
25,162,66,0,Cocktail Napkin Blue,131
25,162,66,0,"Jam - Raspberry,jar",365
25,162,66,0,Langers - Cranberry Cocktail,466
25,162,66,0,Tea - Earl Grey,215
26,182,50,10,Towel Multifold,274
27,58,91,50,"Orange - Canned, Mandarin",353
28,311,96,10,Oil - Peanut,241
28,311,96,10,"Lamb - Loin, Trimmed, Boneless",180
28,311,96,10,Easy Off Oven Cleaner,474
28,311,96,10,"Pasta - Canelloni, Single Serve",341
28,311,96,10,Sausage - Liver,181
28,311,96,10,Sausage - Liver,181
29,277,74,0,Silicone Parch. 16.3x24.3,477
29,277,74,0,Cheese - Le Cheve Noir,77
29,277,74,0,Stainless Steel Cleaner Vision,116
29,277,74,0,Chocolate Bar - Oh Henry,365
30,497,26,50,Eel Fresh,350
30,497,26,50,Beef Ground Medium,68
30,497,26,50,Eel Fresh,350
30,497,26,50,Wine - Black Tower Qr,365
30,497,26,50,Cheese - Swiss,396
31,43,55,10,Veal - Slab Bacon,336
31,43,55,10,Veal - Slab Bacon,336
31,43,55,10,Sauce - Demi Glace,271
31,43,55,10,Wine - Casablanca Valley,255
32,122,54,50,Food Colouring - Orange,90
32,122,54,50,Chips Potato Swt Chilli Sour,118
32,122,54,50,Chips Potato Swt Chilli Sour,118
32,122,54,50,Apple - Custard,322
32,122,54,50,"Cheese - Havarti, Roasted Garlic",197
33,160,64,20,Red Currant Jelly,290
33,160,64,20,Paste - Black Olive,91
33,160,64,20,"Jam - Raspberry,jar",365
33,160,64,20,Paste - Black Olive,91
33,160,64,20,Vinegar - Red Wine,184
34,420,54,40,Food Colouring - Orange,90
35,39,25,50,Tea - Black Currant,130
35,39,25,50,Tea - Herbal - 6 Asst,281
35,39,25,50,"Soup - Beef, Base Mix",104
35,39,25,50,"Soup - Beef, Base Mix",104
35,39,25,50,Island Oasis - Raspberry,182
36,266,64,50,Cheese - Cambozola,422
37,81,29,50,Yeast Dry - Fleischman,117
38,92,26,20,Wine - Black Tower Qr,365
38,92,26,20,Wine - Black Tower Qr,365
39,256,89,50,"Veal - Tenderloin, Untrimmed",480
39,256,89,50,"Veal - Tenderloin, Untrimmed",480
39,256,89,50,Cookie Double Choco,241
39,256,89,50,Nantucket Apple Juice,84
39,256,89,50,Cookie Double Choco,241
39,256,89,50,Cookie Double Choco,241
40,192,68,60,Zucchini - Yellow,316
41,472,23,20,Nut - Pumpkin Seeds,453
41,472,23,20,Eel Fresh,350
42,296,22,40,Lime Cordial - Roses,360
43,210,43,50,"Shrimp - 16/20, Peeled Deviened",436
44,250,62,40,"Nut - Hazelnut, Ground, Natural",445
44,250,62,40,Beer - Blue Light,317
45,280,73,50,Beef Flat Iron Steak,437
