OrderID,CustomerID,Restaurant,ItemLine,Price,Quantity,Discount,Date
11000,20057,Kings,Table Cloth 54x72 Colour,554,3,60,3/20/2020
11000,20981,Debs,Fruit Mix - Light,632,9,50,10/21/2019
11000,20171,Shelley,"Lemonade - Kiwi, 591 Ml",661,4,30,6/6/2020
11000,20647,Mosinee,"Lettuce - Mini Greens, Whole",331,2,10,7/7/2020
11000,20440,Upham,Mudslide,132,1,50,9/10/2019
11001,20817,Nova,Island Oasis - Lemonade,611,2,10,2/24/2020
11001,20960,Stuart,"Mushroom - Morels, Dry",281,4,60,12/9/2019
11001,20071,Quincy,Wine - Chianti Classico Riserva,404,5,20,11/18/2019
11002,20273,Dorton,Salt - Table,795,5,40,5/3/2020
11002,20182,Ridgeview,Pork - Liver,784,1,20,11/30/2019
11003,20697,Goodland,Chicken - Livers,202,3,30,7/19/2020
11003,20361,Farwell,Soupfoamcont12oz 112con,114,6,40,5/8/2020
11004,20197,Continental,Lettuce - Frisee,430,1,50,9/14/2019
11004,20855,Michigan,Crawfish,988,9,60,3/6/2020
11005,20262,Eagan,Appetizer - Seafood Assortment,47,2,50,7/7/2020
11005,20154,Memorial,Halibut - Steaks,109,6,40,5/29/2020
11008,20294,Fisk,Soup - Campbells Beef Stew,162,4,30,10/12/2019
11008,20757,Bultman,Bread - Petit Baguette,90,3,10,11/27/2019
11009,20360,Arapahoe,Salad Dressing,71,3,60,2/24/2020
11010,20046,Porter,"Wine - Mas Chicet Rose, Vintage",890,6,60,9/11/2019
11010,20688,Oriole,Chinese Foods - Thick Noodles,903,1,20,9/5/2019
11010,20440,Ridge Oak,"Soup - Canadian Pea, Dry Mix",159,3,50,7/18/2020
11011,20052,Pankratz,"Lamb - Leg, Bone In",641,10,40,2/13/2020
11011,20628,Upham,"Beef - Tongue, Fresh",252,4,40,10/7/2019
11011,20255,Del Mar,Muffin Chocolate Individual Wrap,190,5,40,11/18/2019
11012,20587,Bonner,Soup Campbells Beef With Veg,278,7,40,9/24/2019
11012,20531,Novick,Grapes - Black,895,4,40,1/10/2020
11014,20164,Grasskamp,Beer - Fruli,226,6,60,12/6/2019
